                freq     bin  bins_total     period_yr           mag  \
bin                                                                    
0       0.000000e+00       0      106800  35600.000000  7.425797e-09   
1       1.782739e-12       1      106800  17800.000000  5.287358e-04   
2       3.565477e-12       2      106800   8900.000000  1.055267e-03   
3       5.348216e-12       3      106800   5933.333333  1.577390e-03   
4       7.130955e-12       4      106800   4450.000000  2.092902e-03   
5       8.913693e-12       5      106800   3560.000000  2.599603e-03   
6       1.069643e-11       6      106800   2966.666667  3.095303e-03   
7       1.247917e-11       7      106800   2542.857143  3.577832e-03   
8       1.426191e-11       8      106800   2225.000000  4.045050e-03   
9       1.604465e-11       9      106800   1977.777778  4.494876e-03   
10      1.782739e-11      10      106800   1780.000000  4.925313e-03   
11      1.961013e-11      11      106800   1618.181818  5.334489e-03   
12      2.139286e-11      12      106800   1483.333333  5.720721e-03   
13      2.317560e-11      13      106800   1369.230769  6.082581e-03   
14      2.495834e-11      14      106800   1271.428571  6.419001e-03   
15      2.674108e-11      15      106800   1186.666667  6.729399e-03   
16      2.852382e-11      16      106800   1112.500000  7.013846e-03   
17      3.030656e-11      17      106800   1047.058824  7.273275e-03   
18      3.208930e-11      18      106800    988.888889  7.509745e-03   
19      3.387203e-11      19      106800    936.842105  7.726764e-03   
20      3.565477e-11      20      106800    890.000000  7.929673e-03   
21      3.743751e-11      21      106800    847.619048  8.126080e-03   
22      3.922025e-11      22      106800    809.090909  8.326305e-03   
23      4.100299e-11      23      106800    773.913043  8.543785e-03   
24      4.278573e-11      24      106800    741.666667  8.795319e-03   
25      4.456847e-11      25      106800    712.000000  9.101017e-03   
26      4.635120e-11      26      106800    684.615385  9.483817e-03   
27      4.813394e-11      27      106800    659.259259  9.968496e-03   
28      4.991668e-11      28      106800    635.714286  1.058025e-02   
29      5.169942e-11      29      106800    613.793103  1.134313e-02   
...              ...     ...         ...           ...           ...   
106770  1.903430e-07  106770      106800      0.166713  1.770611e+00   
106771  1.903448e-07  106771      106800      0.166712  1.756197e+00   
106772  1.903466e-07  106772      106800      0.166710  1.742125e+00   
106773  1.903484e-07  106773      106800      0.166709  1.728406e+00   
106774  1.903501e-07  106774      106800      0.166707  1.715051e+00   
106775  1.903519e-07  106775      106800      0.166706  1.702074e+00   
106776  1.903537e-07  106776      106800      0.166704  1.689486e+00   
106777  1.903555e-07  106777      106800      0.166703  1.677298e+00   
106778  1.903573e-07  106778      106800      0.166701  1.665523e+00   
106779  1.903590e-07  106779      106800      0.166699  1.654172e+00   
106780  1.903608e-07  106780      106800      0.166698  1.643257e+00   
106781  1.903626e-07  106781      106800      0.166696  1.632789e+00   
106782  1.903644e-07  106782      106800      0.166695  1.622780e+00   
106783  1.903662e-07  106783      106800      0.166693  1.613241e+00   
106784  1.903680e-07  106784      106800      0.166692  1.604182e+00   
106785  1.903697e-07  106785      106800      0.166690  1.595614e+00   
106786  1.903715e-07  106786      106800      0.166689  1.587547e+00   
106787  1.903733e-07  106787      106800      0.166687  1.579991e+00   
106788  1.903751e-07  106788      106800      0.166685  1.572954e+00   
106789  1.903769e-07  106789      106800      0.166684  1.566446e+00   
106790  1.903787e-07  106790      106800      0.166682  1.560474e+00   
106791  1.903804e-07  106791      106800      0.166681  1.555047e+00   
106792  1.903822e-07  106792      106800      0.166679  1.550172e+00   
106793  1.903840e-07  106793      106800      0.166678  1.545855e+00   
106794  1.903858e-07  106794      106800      0.166676  1.542101e+00   
